Nombre;Traduction_soussou
406;k̀ɛḿɛ náání sénní
407;k̀ɛḿɛ náání sólófèré
408;k̀ɛḿɛ náání sólómásàxán
409;k̀ɛḿɛ náání sólómánáání
410;k̀ɛḿɛ náání fuú
411;k̀ɛḿɛ náání fuú nŭn kérén
412;k̀ɛḿɛ náání fuú nŭn ̀fírín
413;k̀ɛḿɛ náání fuú nŭn sàxán
414;k̀ɛḿɛ náání fuú nŭn náání
415;k̀ɛḿɛ náání fuú nŭn súlí
416;k̀ɛḿɛ náání fuú nŭn sénní
417;k̀ɛḿɛ náání fuú nŭn sólófèré
418;k̀ɛḿɛ náání fuú nŭn sólómásàxán
419;k̀ɛḿɛ náání fuú nŭn sólómánáání
420;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ
421;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn kérén
422;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn ̀fírín
423;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn sàxán
424;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn náání
425;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn súlí
426;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn sénní
427;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn sólófèré
428;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn sólómásàxán
429;k̀ɛḿɛ náání m̀ɔx̀ɔǵɛŋ nŭn sólómánáání
430;k̀ɛḿɛ náání tòngó sàxán
431;k̀ɛḿɛ náání tòngó sàxán nŭn kérén
432;k̀ɛḿɛ náání tòngó sàxán nŭn ̀fírín
433;k̀ɛḿɛ náání tòngó sàxán nŭn sàxán
434;k̀ɛḿɛ náání tòngó sàxán nŭn náání
435;k̀ɛḿɛ náání tòngó sàxán nŭn súlí
436;k̀ɛḿɛ náání tòngó sàxán nŭn sénní
437;k̀ɛḿɛ náání tòngó sàxán nŭn sólófèré
438;k̀ɛḿɛ náání tòngó sàxán nŭn sólómásàxán
439;k̀ɛḿɛ náání tòngó sàxán nŭn sólómánáání
440;k̀ɛḿɛ náání tòngó náání
441;k̀ɛḿɛ náání tòngó náání nŭn kérén
442;k̀ɛḿɛ náání tòngó náání nŭn ̀fírín
443;k̀ɛḿɛ náání tòngó náání nŭn sàxán
444;k̀ɛḿɛ náání tòngó náání nŭn náání
445;k̀ɛḿɛ náání tòngó náání nŭn súlí
446;k̀ɛḿɛ náání tòngó náání nŭn sénní
447;k̀ɛḿɛ náání tòngó náání nŭn sólófèré
448;k̀ɛḿɛ náání tòngó náání nŭn sólómásàxán
449;k̀ɛḿɛ náání tòngó náání nŭn sólómánáání
450;k̀ɛḿɛ náání tòngó súlí
451;k̀ɛḿɛ náání tòngó súlí nŭn kérén
452;k̀ɛḿɛ náání tòngó súlí nŭn ̀fírín
453;k̀ɛḿɛ náání tòngó súlí nŭn sàxán
454;k̀ɛḿɛ náání tòngó súlí nŭn náání
455;k̀ɛḿɛ náání tòngó súlí nŭn súlí
456;k̀ɛḿɛ náání tòngó súlí nŭn sénní
457;k̀ɛḿɛ náání tòngó súlí nŭn sólófèré
458;k̀ɛḿɛ náání tòngó súlí nŭn sólómásàxán
459;k̀ɛḿɛ náání tòngó súlí nŭn sólómánáání
460;k̀ɛḿɛ náání tòngó sénní
461;k̀ɛḿɛ náání tòngó sénní nŭn kérén
462;k̀ɛḿɛ náání tòngó sénní nŭn ̀fírín
463;k̀ɛḿɛ náání tòngó sénní nŭn sàxán
464;k̀ɛḿɛ náání tòngó sénní nŭn náání
465;k̀ɛḿɛ náání tòngó sénní nŭn súlí
466;k̀ɛḿɛ náání tòngó sénní nŭn sénní
467;k̀ɛḿɛ náání tòngó sénní nŭn sólófèré
468;k̀ɛḿɛ náání tòngó sénní nŭn sólómásàxán
